epoch,accuracy,loss,val_accuracy,val_loss
0,0.9436666369438171,0.19739364087581635,0.9766666889190674,0.08701890707015991
1,0.9775000214576721,0.072000652551651,0.9823333621025085,0.057500723749399185
2,0.9864259362220764,0.04255273565649986,0.9868333339691162,0.050661779940128326
3,0.991944432258606,0.024970464408397675,0.984000027179718,0.05633564665913582
4,0.9952222108840942,0.015338695608079433,0.9851666688919067,0.060416705906391144
5,0.9964444637298584,0.0113827558234334,0.9868333339691162,0.05446008965373039
6,0.9975370168685913,0.008009028621017933,0.9866666793823242,0.05825966224074364
7,0.9984444379806519,0.005436727311462164,0.9838333129882812,0.07314950972795486
8,0.9986851811408997,0.004349615890532732,0.9866666793823242,0.06239435821771622
9,0.9986666440963745,0.003973186016082764,0.987666666507721,0.06257405132055283
