epoch,accuracy,loss,val_accuracy,val_loss
0,0.8355000019073486,0.5974868535995483,0.937666654586792,0.24292314052581787
1,0.933722198009491,0.24542921781539917,0.9549999833106995,0.15700100362300873
2,0.9523518681526184,0.16946464776992798,0.9668333530426025,0.12802182137966156
3,0.9618889093399048,0.13267433643341064,0.9681666493415833,0.11048579216003418
4,0.9648333191871643,0.1197345033288002,0.9728333353996277,0.09639324247837067
5,0.9709629416465759,0.10192472487688065,0.9771666526794434,0.08731230348348618
6,0.9732962846755981,0.09374398738145828,0.9743333458900452,0.08561274409294128
7,0.9743518233299255,0.08627431094646454,0.9753333330154419,0.0845065787434578
8,0.9766666889190674,0.08121643215417862,0.9754999876022339,0.08161458373069763
9,0.9780740737915039,0.07451111823320389,0.9810000061988831,0.07373363524675369
