epoch,accuracy,loss,val_accuracy,val_loss
0,0.88485187292099,0.43246954679489136,0.9588333368301392,0.16181989014148712
1,0.9538703560829163,0.16353368759155273,0.9673333168029785,0.11451426148414612
2,0.9639444351196289,0.12514248490333557,0.9714999794960022,0.09657403826713562
3,0.9675740599632263,0.10863947123289108,0.972000002861023,0.09592635929584503
4,0.9718148112297058,0.09571099281311035,0.9743333458900452,0.08799576014280319
5,0.9737036824226379,0.09076382219791412,0.9771666526794434,0.08506894111633301
6,0.974407434463501,0.0844234749674797,0.9771666526794434,0.07736513763666153
7,0.9761481285095215,0.08104117214679718,0.9763333201408386,0.08061082661151886
8,0.9771851897239685,0.07402872294187546,0.9779999852180481,0.07659165561199188
9,0.9763148427009583,0.07687116414308548,0.9779999852180481,0.0761343389749527
