epoch,accuracy,loss,val_accuracy,val_loss
0,0.6488147974014282,1.1007641553878784,0.8633333444595337,0.4794735908508301
1,0.8647592663764954,0.438119500875473,0.8939999938011169,0.3537064492702484
2,0.8999074101448059,0.3294159770011902,0.9303333163261414,0.2319187968969345
3,0.9104259014129639,0.29634448885917664,0.9168333411216736,0.2731607258319855
4,0.9148889183998108,0.27853909134864807,0.9355000257492065,0.22472310066223145
5,0.9200925827026367,0.26783037185668945,0.9419999718666077,0.19982241094112396
6,0.925611138343811,0.2436303347349167,0.9358333349227905,0.2143796980381012
7,0.9292222261428833,0.23664481937885284,0.9471666812896729,0.17977303266525269
8,0.9314073920249939,0.2197398841381073,0.9484999775886536,0.166960671544075
9,0.9282777905464172,0.23779110610485077,0.9459999799728394,0.18078885972499847
