epoch,accuracy,loss,val_accuracy,val_loss
0,0.7317777872085571,0.8008818626403809,0.812833309173584,0.5591360926628113
1,0.7970370650291443,0.6235786080360413,0.8368333578109741,0.4856113791465759
2,0.8193333148956299,0.547982394695282,0.8606666922569275,0.43891939520835876
3,0.8441296219825745,0.4761725664138794,0.8583333492279053,0.447325199842453
4,0.858222246170044,0.43374955654144287,0.8755000233650208,0.3996141850948334
5,0.8613703846931458,0.42982017993927,0.8758333325386047,0.3831852674484253
6,0.8696110844612122,0.40345489978790283,0.8924999833106995,0.33690911531448364
7,0.8652777671813965,0.4158325493335724,0.8824999928474426,0.36412757635116577
8,0.8837962746620178,0.3676047921180725,0.9041666388511658,0.30524760484695435
9,0.8837037086486816,0.3659791946411133,0.8986666798591614,0.3255307078361511
