epoch,accuracy,loss,val_accuracy,val_loss
0,0.9417407512664795,0.21307989954948425,0.971833348274231,0.10025027394294739
1,0.9737222194671631,0.08569356054067612,0.9819999933242798,0.06250011920928955
2,0.9835000038146973,0.054457493126392365,0.984000027179718,0.055312883108854294
3,0.9889259338378906,0.035228878259658813,0.984333336353302,0.05306648090481758
4,0.993481457233429,0.02141537517309189,0.9850000143051147,0.05717562884092331
5,0.9955740571022034,0.014733083546161652,0.9881666898727417,0.04684438928961754
6,0.9969815015792847,0.010178904980421066,0.9860000014305115,0.054628174751996994
7,0.9976666569709778,0.008128593675792217,0.9883333444595337,0.049785275012254715
8,0.9988148212432861,0.004717858973890543,0.9888333082199097,0.04896719381213188
9,0.9984074234962463,0.005174456164240837,0.9886666536331177,0.05368157848715782
