epoch,accuracy,loss,val_accuracy,val_loss
0,0.16120369732379913,2.2303829193115234,0.2043333351612091,2.111346960067749
1,0.1962222158908844,2.1203110218048096,0.19566667079925537,2.086313486099243
2,0.3044259250164032,1.8853012323379517,0.4984999895095825,1.444674015045166
3,0.5606296062469482,1.2578221559524536,0.7229999899864197,0.9267444014549255
4,0.7594074010848999,0.8004751801490784,0.8741666674613953,0.5207834839820862
5,0.8112778067588806,0.6355525255203247,0.8228333592414856,0.5775880813598633
6,0.8295740485191345,0.5895606875419617,0.8656666874885559,0.5389472246170044
7,0.8415555357933044,0.537312924861908,0.862333357334137,0.4854895770549774
8,0.8588148355484009,0.49856531620025635,0.9049999713897705,0.38447725772857666
9,0.8647037148475647,0.4719095826148987,0.9071666598320007,0.3544183671474457
