epoch,accuracy,loss,val_accuracy,val_loss
0,0.7514073848724365,0.8289152383804321,0.9014999866485596,0.35344839096069336
1,0.9079259037971497,0.30666133761405945,0.940666675567627,0.1933392584323883
2,0.9338703751564026,0.21905890107154846,0.950166642665863,0.1664115935564041
3,0.9394444227218628,0.1970272660255432,0.9518333077430725,0.1610029637813568
4,0.9480555653572083,0.17396840453147888,0.9574999809265137,0.14359784126281738
5,0.9488518238067627,0.1650366634130478,0.9599999785423279,0.1318245530128479
6,0.950092613697052,0.16222043335437775,0.9635000228881836,0.1268666386604309
7,0.9546296000480652,0.14933699369430542,0.9681666493415833,0.11866217106580734
8,0.9543148279190063,0.14942577481269836,0.9638333320617676,0.12180976569652557
9,0.9579259157180786,0.13928744196891785,0.9611666798591614,0.12431057542562485
