epoch,accuracy,loss,val_accuracy,val_loss
0,0.7544814944267273,0.758972704410553,0.8414999842643738,0.4958644211292267
1,0.8240925669670105,0.5391684174537659,0.8539999723434448,0.43856289982795715
2,0.8407962918281555,0.49028581380844116,0.8476666808128357,0.44070854783058167
3,0.8562407493591309,0.44335976243019104,0.8941666483879089,0.32945531606674194
4,0.8728148341178894,0.40413331985473633,0.887666642665863,0.34754374623298645
5,0.8722222447395325,0.4053216874599457,0.8924999833106995,0.34890204668045044
6,0.8707592487335205,0.4069226384162903,0.8951666951179504,0.34775322675704956
7,0.873370349407196,0.4035576581954956,0.8964999914169312,0.34403887391090393
8,0.878333330154419,0.3788866698741913,0.8826666474342346,0.3488365411758423
9,0.8907592296600342,0.3472541272640228,0.9103333353996277,0.28286561369895935
